premise,hypothesis,label,idx
"The Council document also noted that inexplicably 18-B lawyers are handling 50 percent of the indigent criminal cases in New York City, even though their mandate is to handle only multi-defendant cases where the Legal Aid Society had a conflict.",18-B lawyers are handling cases that appear to be outside their mandate.,0,84525
"Notwithstanding any other paragraph of this subsection, for units subject to this paragraph, the Administrator shall not allocate allowances pursuant to any other paragraph of this subsection, provided that the owner or operator of a unit listed on Table B may elect an allocation of allowances under another paragraph of this subsection in lieu of an allocation under this paragraph.",The Administrator should not provide allowances under certain conditions.,0,223586
Many evaluation questions do not require a high degree of generalizability.,There are evaluation questions that do not ask for high degree generalizability.,0,181441
"The sofa you see there now is a replica, the original having been stolen during the Revolution.",The sofa currently on display is a copy of the real thing.,0,366216
"The lush river valley cuts deep into the heart of the mountains, with sheltered habitats for many birds and butterflies.",The rich river valley goes deep into the heart of the mountains containing habitats for birds and butterflies.,0,235696
"We have to cross that?I fear so,"" said Jon.",Jon didn't know if it was a good idea to cross.,0,211412
"'He did this happen?' Natalia asked, gesturing to a window.",Natalie asked how this could happen?,0,326770
"Sound and Light  All the most impressive ancient sites in Egypt have a sound and light show, and it adds an extra theatrical dimension to your Egypt experience.",You get an extra theatrical dimension to your Egypt trip with all the sound and light shows.,0,226479
"This acquisition guide is intended for use in reviewing any information technology acquisition, regardless of the system development methodology being used.",The acquisition of information technology can be reviewed with this guide.,0,307678
"Washington, D.C.: International Monetary Fund, September 2000.",It contained the September 2000 fund information.,0,120031
"They were all slaves, weren't they?","They were all slaves, yeah?",0,44187
Most tour boats provide a choice of open-air and glassed-in seating.,There's a choice of open-air and glassed-in seating for most tour boats.,0,171273
yeah it's crowded i know that,I am aware that it is crowded.,0,155222
"In performing this study, we conducted extensive research and identified three federal agencies, three state governments, three foreign countries, and three private sector companies that took actions that they considered effective in reducing improper payments in their programs.",We conducted research and found some groups that were effective in reducing improper payments.,0,120461
"Modern human capital strategies, including implementing a credible, effective and equitable performance management system that links institutional, unit, team and individual performance measurement and reward systems to the department's strategic plan, core values and desired outcomes will be critical to success.",Modern human capital strategies are likely to be critical to success.,0,264332
"Fienberg, S. E. The Collection and Analysis of Ethnographic Data in Educational Research.",S e fienberg - the collection and analysis of ethnographic data in educational research ,0,276760
"Superimposed against a blue sky, Magritte's comb seems to be lying on clouds of shaving cream--a painter's dream--while the match lies asleep on the floor.",Magritte's comb looks like it's lying on clouds of shaving cream.,0,315805
i don't know things like you know well like acid rain and all these sulphur dioxides being dumped out there i i'm more worried about that than i am just about anything else,Acid rain and sulphur are bring dumped  out there.,0,281846
" The blades went through clothing, skin, flesh and bones, straight for Dave's heart.","The blades tore through everything, and went straight for Dave's heart.",0,357055
"There is a small forest of white chaitya shrines behind the Hariti Devi temple, and a porch to one side where pilgrims congregate to prepare meals in offering for the goddess.",There is a temple with some shrines behind it.,0,115222
"It seems that the world-egg has hatched."" His eyes lifted and centered on the doorway.","The world-egg has hatched, it seems."" His eyes lifted, and centered on the doorway.",0,46824
"More a part of Europe than ever before, Spain joined the European Community (now European Union) in 1986, giving further boost to a booming economy.",Spain joined the European Union is the mid-eighties.,0,246509
"When the US refused to annex Hawaii, and instead demanded the reinstitution of the Queen, the sugar industry simply declared Hawaii a Republic, with Sanford B. Dole its president.",The US refused to annex Hawaii.,0,260511
"As a result, the omission of this broad class of benefits from our quantitative results likely causes our estimates to substantially understate the total benefits of the Clear Skies Act.",The Clear Skies Act probably yields more benefits than projected.,0,217903
"(financial eligibility, citizenship/eligible alien status, within program priorities, etc.) it may not be reported to LSC as a case.",The financial eligibility and citizenship status may not be reported to LSC as a case. ,0,13181
"Under the Paperwork Reduction Act, these disclosure requirements are to be submitted by HUD to OMB for approval.","As per the Paperwork Reduction Act, things that are required must be approved. ",0,192911
"As in his Searching for Bobby Fischer (1993), the outcome of every scene is predictable, but how Zaillian gets from beat to beat is surprisingly fresh.",The outcome of every scene in Searching for Bobby Fischer is predictable.,0,259365
"Therefore, the 53,000 MWe of FGD retrofits projected to be built by 2010 for Clear Skies and current requirements remains the same under both scenarios.","Both scenarios include a projection of 53,000 MWe of FGD retrofits.",0,345679
"These events surprised nobody, having been foreordained weeks and months ago.",Nobody was surprised at the events.,0,302197
Kofukuji temple was the first of the Zen Buddhist temples built by the Chinese (1620) after the Tokugawa shoguns had outlawed Christianity and ordered citizens to register as Buddhists.,The first of the Zen Buddhist temples contructed by the Chinese was called the Kofukuji temple.,0,213831
"Privately, I hoped it might remain so, for what happiness could there be for Mary, if John were not acquitted? ","If John is not acquitted, Mary cannot be happy.",0,39111
The carp's ability to struggle upstream against a strong current is regarded as a fit model for Japanese boys.,Japanese boys use the carp as fit model.,0,2344
"My parents were Marxists, and so were my grandparents.",My parents and their parents were Marxists.,0,371011
But he stood again.,But he rose.,0,39858
(It would be cheaper to buy the stock on the open market than by using the options.),Buying the stock on open market would be cheaper than using options.,0,39352
"In summary, the total time needed to complete the design, installation, and testing at a facility with one ACI unit is about 15 months, at a facility with two ACI units is approximately 16 months.","It will take fifteen months to complete the design, installation and testing at a facility with one ACI unit.  ",0,175915
yeah that's that's an important thing we've got we've got a lot of people who are getting money the from the government for this that and the other thing,It's the important thing.,0,224797
"For example, iron and steelworkers who had been boilermakers in the past could move back into boilermaker work very quickly.",Past experience as boilermakers expedites transition into boilermaker work for iron and steelworkers.,0,269190
"As recalled by Peter Prichard in his book, The Making of McPaper , Neuharth condemned the old journalism of despair, a derisive technique of leaving readers discouraged, or mad, or indignant.","Peter Prichard recalled a derisive technique in his book, The Making of McPaper.",0,66815
and oh they were they just they they just keep you going,They motivated you.,0,292874
uh i think that's because of what Ditka done to him that just put it in my head and kept it there but uh i don't know,i believe it's due to what Ditka did to him,0,152809
large as a grown man's thigh,A grown man's thigh is as large as this.,0,143554
Historians are likely to look back on ABC's March Against Drugs as a high-water mark in the anti-drug irrationalism of the mid-'90s., ABC's March Against Drugs may later be considered a high-water mark in the anti-drug absurdity of the 90's.,0,167828
"From the 1970s through the mid 1990s, federal deficits absorbed a large share of private saving and reduced the amount of national saving available for investment (see figure 4.1).",National savings that could be used for investments saw a decline for 20 years. ,0,59723
yeah but you wouldn't be able to steer people toward a particular type of savings you wouldn't be able to say well you get better tax bonds if you you know avoid the capital gains tax and if you do it this way do this and you roll over your IRA's and all that they,I would not be able to convince someone into a type of savings.,0,341305
Passaic Legal Aid argues that LSC has effectively debarred it from receiving future grants without providing the notice and hearing required by law.,Passaic Legal Aid says LSC cannot get future grants.,0,253941
"Bauer's site lets you pledge to write a check but, unlike other sites, doesn't let you use your credit card online.",You cannot use your credit card to pledge on Bauer's site.,0,317857
yeah and that's that's funny you're in human resources and i'm in uh health and safety,I'm in a different department than you. ,0,1291
