sentence,label,idx
unpleasantly ,0,4950
create a ruffle in what is already an erratic career ,0,37948
each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial ,0,66945
toilet-humor ,0,7591
"will find little of interest in this film , which is often preachy and poorly acted ",0,32
-- all are irrelevant to the experience of seeing the scorpion king . ,0,33541
the paper-thin characterizations and facile situations ,0,59173
a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and an old payne screenplay ,0,1787
dying fall ,0,30301
disturbing disregard ,0,22517
this did n't connect with me would require another viewing ,0,51171
uncreative ,0,4977
a bomb ,0,34628
"slovenly done , so primitive in technique , that it ca n't really be called animation ",0,7353
the leads we are given here are simply too bland to be interesting . ,0,46246
"has been , pardon the pun , sucked out and replaced by goth goofiness . ",0,5017
does n't trust laughs ,0,2600
unhappy ,0,51140
"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves . ",0,62911
"took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long ",0,57910
audacious-impossible ,0,53334
punctuated by flying guts ,0,31328
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0,26995
desperately needed ,0,22113
ugly behavior ,0,36265
of knucklehead swill ,0,33781
almost perpetually wasted ,0,26243
the movie has a tougher time balancing its violence with kafka-inspired philosophy ,0,16774
"a dreary , humorless soap opera ",0,36699
deviant ,0,48388
"the film ... it was the unfulfilling , incongruous , `` wait a second ",0,4112
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation ",0,67332
half-baked setups and ,0,9890
watching a rerun ,0,20077
in tatters ,0,15827
should have stayed there . ,0,19228
a ridiculous wig no respectable halloween costume shop would ever try to sell ,0,26533
one of the worst movies of the year . ,0,51622
would go back and choose to skip it . ,0,17151
"this hastily mounted production exists only to capitalize on hopkins ' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book . ",0,39868
lacking a depth in storytelling usually found in anime like this ,0,22397
're - doing-it-for - the-cash ,0,34058
"enigma is well-made , but it 's just too dry and too placid . ",0,12658
unshapely look ,0,2786
"spirals downward , and ",0,49252
stinks so badly of hard-sell image-mongering you ,0,47118
hard to believe that a life like this can sound so dull ,0,55750
got lost in the `` soon-to-be-forgettable '' section of the quirky rip-off prison romp pile ,0,7864
"'m convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking ",0,42596
unless it happens to cover your particular area of interest ,0,37138
"really , really stupid ",0,2816
flashbulb editing as cover for the absence of narrative continuity ,0,17022
often silly -- and gross -- but it 's rarely as moronic as some campus gross-out films . ,0,3376
why lee 's character did n't just go to a bank manager and save everyone the misery ,0,14571
the bad guys ,0,61046
like some sort of martha stewart decorating program run amok ,0,1558
"offers little insight into the experience of being forty , female and single . ",0,53057
", tedious ",0,66205
realize that we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire ,0,42434
distant ,0,45151
leave ,0,7724
stages his gags as assaults on america 's knee-jerk moral sanctimony ,0,49132
ones that were imposed for the sake of commercial sensibilities ,0,64377
's no energy ,0,38097
borrowed images ,0,17462
"van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . ",0,43125
shenanigans and ,0,67087
loosely-connected string ,0,61087
was just a matter of ` eh ,0,25340
"staged violence overshadows everything , including most of the actors ",0,35624
from its material that is deliberately unsettling ,0,9769
as the worst -- and only -- killer website movie of this or any other year ,0,42477
the entire movie is in need of a scented bath . ,0,67297
his dependence on slapstick ,0,39700
disappointingly thin slice ,0,42674
absurd ,0,24856
airless cinematic shell games . ,0,30046
is n't quite ,0,52561
a vanity project ,0,44334
"preposterous , prurient whodunit ",0,36618
getting the better of obnoxious adults ,0,18816
a rumor of angels should dispel it . ,0,5192
junk-calorie ,0,41906
", everything else about the film tanks . ",0,49147
a bland animated sequel that hardly seems worth the effort . ,0,16954
he 's been in years ,0,61669
fiascos ,0,58283
", he has no clue about making a movie ",0,17433
"feels impersonal , almost generic . ",0,8837
not scarier ,0,2563
a grand whimper ,0,66774
dreadful romance . ,0,36482
"a bad premise , just a bad movie ",0,45353
i 'm left slightly disappointed that it did n't . ,0,21043
crawl up your own *** in embarrassment ,0,41709
just so the documentary will be over ,0,63527
wishy-washy ,0,66460
is a just a waste . ,0,43773
place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence ,0,61009
is a dud ,0,14370
might just be better suited to a night in the living room than a night at the movies ,0,43582
are so familiar you might as well be watching a rerun ,0,64275
that virtually no one is bound to show up at theaters for it ,0,49965
"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead ",0,1078
the plot grinds itself out in increasingly incoherent fashion ,0,55355
"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... ",0,37283
damaged-goods ,0,10087
"annoying , ",0,29997
"the movie , shot on digital videotape rather than film , is frequently indecipherable . ",0,39556
whiny pouty-lipped poof ,0,48885
artless sytle ,0,45862
"is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky ",0,15311
the master of disguise represents adam sandler 's latest attempt to dumb down the universe . ,0,11860
", dull procession ",0,49739
"too much power , not enough puff ",0,47473
tragic ) ,0,29147
the improperly hammy performance from poor stephen rea ,0,28477
'm left slightly disappointed that it did n't ,0,12511
a 94-minute travesty ,0,26021
"seen it all before , ",0,6685
relied too much ,0,29119
to either effort in three hours of screen time ,0,21142
profoundly stupid affair ,0,62609
"much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all . ",0,34783
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings ,0,32835
to churn out one mediocre movie after another ,0,29913
the film does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes wilco a big deal . ,0,64340
gangster no. 1 drips ,0,46724
"a film of empty , fetishistic violence in which murder is casual and fun ",0,19442
"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it . ",0,55546
too little ,0,63981
find a ` literary ' filmmaking style ,0,14734
there 's no disguising this as one of the worst films of the summer . ,0,35178
"exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie ",0,9935
how tedious ,0,63447
"the middle and lurches between not-very-funny comedy , unconvincing dramatics and ",0,21187
manual ,0,19430
replaced by goth goofiness ,0,50698
the long list of renegade-cop tales ,0,51002
who would not likely be so stupid as to get ,0,51022
"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary . ",0,54911
given the fact that virtually no one is bound to show up at theaters for it ,0,65889
is so bad ,0,35798
unentertaining ,0,41245
an exercise in gross romanticization of the delusional personality type ,0,52747
", absurd collection ",0,44082
as visually bland as a dentist 's waiting room ,0,42480
"it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,49197
is the recording industry in the current climate of mergers and downsizing ,0,42907
"a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place , but ",0,19144
as the movie dragged on ,0,40297
so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,7524
"a muddled limp biscuit of a movie , a vampire soap opera that does n't make much ",0,63723
this stuck pig of a movie ,0,63224
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ",0,679
i fear ,0,38942
"not all of the stories work and the ones that do are thin and scattered , ",0,51882
does n't so much phone in his performance as fax it . ,0,20543
"a movie , which normally is expected to have characters and a storyline ",0,38194
's icky . ,0,56061
fortify this turgid fable ,0,56532
seems to remain an unchanged dullard ,0,40979
see clockstoppers if you have nothing better to do with 94 minutes . ,0,60622
's a road-trip drama with too many wrong turns ,0,34665
this pretentious mess ,0,24937
worse stunt editing or cheaper action movie production ,0,22899
( sci-fi ) rehash ,0,58644
