sentence,actual_label,predicted_label
unpleasantly ,0,negative
create a ruffle in what is already an erratic career ,0,positive
each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial ,0,negative
toilet-humor ,0,negative
"will find little of interest in this film , which is often preachy and poorly acted ",0,negative
-- all are irrelevant to the experience of seeing the scorpion king . ,0,negative
the paper-thin characterizations and facile situations ,0,negative
a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and an old payne screenplay ,0,negative
dying fall ,0,negative
disturbing disregard ,0,negative
this did n't connect with me would require another viewing ,0,negative
uncreative ,0,negative
a bomb ,0,negative
"slovenly done , so primitive in technique , that it ca n't really be called animation ",0,negative
the leads we are given here are simply too bland to be interesting . ,0,negative
"has been , pardon the pun , sucked out and replaced by goth goofiness . ",0,negative
does n't trust laughs ,0,negative
unhappy ,0,negative
"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves . ",0,negative
"took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long ",0,negative
audacious-impossible ,0,negative
punctuated by flying guts ,0,negative
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0,positive
desperately needed ,0,positive
ugly behavior ,0,negative
of knucklehead swill ,0,negative
almost perpetually wasted ,0,negative
the movie has a tougher time balancing its violence with kafka-inspired philosophy ,0,negative
"a dreary , humorless soap opera ",0,negative
deviant ,0,negative
"the film ... it was the unfulfilling , incongruous , `` wait a second ",0,negative
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation ",0,negative
half-baked setups and ,0,negative
watching a rerun ,0,positive
in tatters ,0,negative
should have stayed there . ,0,negative
a ridiculous wig no respectable halloween costume shop would ever try to sell ,0,negative
one of the worst movies of the year . ,0,negative
would go back and choose to skip it . ,0,negative
"this hastily mounted production exists only to capitalize on hopkins ' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book . ",0,negative
lacking a depth in storytelling usually found in anime like this ,0,negative
're - doing-it-for - the-cash ,0,negative
"enigma is well-made , but it 's just too dry and too placid . ",0,negative
unshapely look ,0,negative
"spirals downward , and ",0,negative
stinks so badly of hard-sell image-mongering you ,0,negative
hard to believe that a life like this can sound so dull ,0,negative
got lost in the `` soon-to-be-forgettable '' section of the quirky rip-off prison romp pile ,0,negative
"'m convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking ",0,negative
unless it happens to cover your particular area of interest ,0,negative
"really , really stupid ",0,negative
flashbulb editing as cover for the absence of narrative continuity ,0,negative
often silly -- and gross -- but it 's rarely as moronic as some campus gross-out films . ,0,positive
why lee 's character did n't just go to a bank manager and save everyone the misery ,0,negative
the bad guys ,0,negative
like some sort of martha stewart decorating program run amok ,0,negative
"offers little insight into the experience of being forty , female and single . ",0,negative
", tedious ",0,negative
realize that we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire ,0,positive
distant ,0,neutral
leave ,0,negative
stages his gags as assaults on america 's knee-jerk moral sanctimony ,0,negative
ones that were imposed for the sake of commercial sensibilities ,0,negative
's no energy ,0,negative
borrowed images ,0,neutral
"van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . ",0,negative
shenanigans and ,0,negative
loosely-connected string ,0,neutral
was just a matter of ` eh ,0,negative
"staged violence overshadows everything , including most of the actors ",0,negative
from its material that is deliberately unsettling ,0,negative
as the worst -- and only -- killer website movie of this or any other year ,0,negative
the entire movie is in need of a scented bath . ,0,negative
his dependence on slapstick ,0,negative
disappointingly thin slice ,0,negative
