sentence,label,idx
To the washroom kissed the Blarney stone.,0,5648
"Mary claimed that intelligent, I consider Holly not.",0,872
The boys were made a good mother.,0,735
"Clearly, John immediately will probably learn French perfectly.",0,692
Stephen is believed to be easy to annoy Ben.,0,4628
That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.,0,1793
Megan loves Jason.,0,5901
For John to remove the mother is undeniable.,0,4074
The cat was having eaten.,0,6027
The cup filled the water high.,0,582
He hit the ball.,0,318
"Any student, and he wears socks, is a swinger.",0,1876
Donna fixed last night's leftovers into a sandwich.,0,2941
I put.,0,7323
The car had a yellow collar on the dog which it injured.,0,1907
Jean moved at the table.,0,2164
Paintings admire easily.,0,3000
John kisses often Mary.,0,352
How tall did Sheila marry a man?,0,1376
He's a that reliable man.,0,5439
The Romans destroyed the city into a ruin.,0,3229
I lent Tony the book most of the way.,0,2107
Conflict engenders.,0,2965
I don't know the boy the flowers who Mary gave to.,0,1829
"Clearly, John perfectly will immediately learn French probably.",0,694
"The more he eats, the fatter he goes to a doctor when he gets.",0,198
That Tom missed the lecture was enjoyable.,0,4073
Carla shoveled the walk of snow.,0,2649
You should avoid to travel in the rush hour.,0,4102
I think if John likes his beer.,0,5950
"When I am awake at that time and Susan is asleep, Bill will leave.",0,1637
The director sparkled the lights.,0,3204
The wall sprayed with paint.,0,2597
Gilgamesh seek may Ishtar,0,8052
"This is the problem that you'll beat the competition more easily, the sooner you solve.",0,308
I admired him a teacher.,0,3002
The only girl who it bothers me to wear that old fedora is Annabelle.,0,1919
Mary considered he to have loved her.,0,804
On whom does Dana believe Chris knows Sandy trusts?,0,4858
Every essay she's written and which I've read is on that pile.,0,4911
"Any student, who wears socks, is a swinger.",0,1873
I wonder what city that Romans destroyed.,0,4854
"Kim likes Lee, and to Ronnie.",0,7107
I don't know if to agree with him.,0,4820
The owl hated the and loved the bat.,0,8525
Here's a razor for you to chop up these nuts with this cleaver and.,0,1653
The lesson got read by a priest.,0,4734
I consider to be a fool the senator who made the opening speech.,0,1123
