sentence1,sentence2,label,idx
"Andrew Sugden , an evolutionary biology expert and international managing editor of Science , described the find as a "" milestone . . . this research has broken the size barrier for rodents "" .","Andrew Sugden , an evolutionary biology expert and the international managing editor of Science , described the find as a "" milestone "" .",0,1970
"The technology-laced Nasdaq Composite Index < .IXIC > declined 16.68 points , or 1.01 percent , at 1,636.94 .","The broader Standard & Poor 's 500 Index .SPX eased 7.57 points , or 0.76 percent , at 990.94 .",0,3393
"The US responded coolly to the EU deadline , warning that trade sanctions would backfire by hurting European consumers .","The US administration responded coolly to the EU deadline , warning that trade sanctions would backfire by hurting European consumers but pledging "" to comply with our international obligations "" .",0,1558
RJR spends an estimated $ 30 million annually on NASCAR .,NASCAR will get an estimated $ 75 million a year in cash and promotional concessions .,0,2470
"A final decision on his fate , including the power of the death penalty , lay with President Bush .",A final decision on his fate would lie with US President George Bush .,0,1154
"The broader Standard & Poor 's 500 Index .SPX declined 10.65 points , or 1.07 percent , to 987.86 .","The technology-laced Nasdaq Composite Index < .IXIC > declined 25.78 points , or 1.56 percent , to 1,627.84 .",0,1672
"Think Dynamics , which is based in Toronto , will become part of IBM 's Software Group .","The 36 employees at Think Dynamics will remain in Toronto and become IBM employees , Crowe said .",0,3750
"The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .","The seizure occurred at 4am on March 18 , just hours before the first American air assault .",0,369
"On Jan. 10 , Shawanda Denise McCalister , who was also pregnant , was found bound and strangled in her apartment in the same neighbourhood .","On Jan. 1 , Nikia Shanell Kilpatrick , who was pregnant , was found bound and strangled in her apartment .",0,1324
"The 30-year bond US30YT = RR firmed 26 / 32 , taking its yield to 4.17 percent , after hitting another record low of 4.16 percent .","The 30-year bond US30YT = RR firmed 14 / 32 , taking its yield to 4.19 percent from 4.22 percent .",0,873
"Yang would dine on shredded pork with garlic and kung pao chicken washed down with Chinese tea , state media said .","Yang was to dine on specially designed packets of shredded pork with garlic and "" eight treasure "" rice , washed down with Chinese tea , state media said .",0,3974
Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush .,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs , violating the station 's two-month-old ban on the group 's music .",0,521
He said that most of the 250 persons living near the disaster site were asleep when the cloudburst took place late on Thursday evening .,"Most of the 250 persons living near the disaster site were asleep when the cloudburst took place , the second such incident in three weeks .",0,3826
"The Dow Jones Industrial Average fell 98.32 , or about 1.1 percent , to 9011.53 .","The Dow Jones industrial average finished the day down 98.32 points at 9,011.53 .",0,2750
"Federal agent Bill Polychronopoulos said it was not known if the man , 30 , would be charged .",Federal Agent Bill Polychronopoulos said last night the man involved in the Melbourne incident had been unarmed .,0,3683
