sentence,actual_label,predicted_label
To the washroom kissed the Blarney stone.,0,unacceptable
"Mary claimed that intelligent, I consider Holly not.",0,unacceptable
The boys were made a good mother.,0,unacceptable
"Clearly, John immediately will probably learn French perfectly.",0,unacceptable
Stephen is believed to be easy to annoy Ben.,0,unacceptable
That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.,0,unacceptable
Megan loves Jason.,0,acceptable
For John to remove the mother is undeniable.,0,acceptable
The cat was having eaten.,0,unacceptable
The cup filled the water high.,0,unacceptable
He hit the ball.,0,acceptable
"Any student, and he wears socks, is a swinger.",0,unacceptable
Donna fixed last night's leftovers into a sandwich.,0,acceptable
I put.,0,unacceptable
The car had a yellow collar on the dog which it injured.,0,unacceptable
Jean moved at the table.,0,unacceptable
Paintings admire easily.,0,unacceptable
John kisses often Mary.,0,unacceptable
How tall did Sheila marry a man?,0,unacceptable
He's a that reliable man.,0,unacceptable
The Romans destroyed the city into a ruin.,0,unacceptable
I lent Tony the book most of the way.,0,acceptable
Conflict engenders.,0,acceptable
I don't know the boy the flowers who Mary gave to.,0,unacceptable
"Clearly, John perfectly will immediately learn French probably.",0,unacceptable
"The more he eats, the fatter he goes to a doctor when he gets.",0,unacceptable
That Tom missed the lecture was enjoyable.,0,unacceptable
Carla shoveled the walk of snow.,0,unacceptable
You should avoid to travel in the rush hour.,0,unacceptable
I think if John likes his beer.,0,unacceptable
"When I am awake at that time and Susan is asleep, Bill will leave.",0,acceptable
The director sparkled the lights.,0,unacceptable
The wall sprayed with paint.,0,unacceptable
Gilgamesh seek may Ishtar,0,unacceptable
"This is the problem that you'll beat the competition more easily, the sooner you solve.",0,unacceptable
I admired him a teacher.,0,unacceptable
The only girl who it bothers me to wear that old fedora is Annabelle.,0,unacceptable
Mary considered he to have loved her.,0,unacceptable
On whom does Dana believe Chris knows Sandy trusts?,0,acceptable
Every essay she's written and which I've read is on that pile.,0,acceptable
"Any student, who wears socks, is a swinger.",0,unacceptable
I wonder what city that Romans destroyed.,0,acceptable
"Kim likes Lee, and to Ronnie.",0,unacceptable
I don't know if to agree with him.,0,unacceptable
The owl hated the and loved the bat.,0,unacceptable
Here's a razor for you to chop up these nuts with this cleaver and.,0,unacceptable
The lesson got read by a priest.,0,acceptable
I consider to be a fool the senator who made the opening speech.,0,acceptable
Steve tossed at the ball.,0,unacceptable
The magician appeared a rabbit out of his hat.,0,unacceptable
"His expectations lower, the higher the stakes are.",0,acceptable
few evidence was provided.,0,unacceptable
Which table did you wonder on Kim put the book?,0,unacceptable
Jennifer craned her arm.,0,acceptable
"The president could not approve the bill, could he?",0,acceptable
They caused him to become angry by making him.,0,unacceptable
I inquired John likes his beer.,0,unacceptable
John intimately spoke to Mary.,0,acceptable
The UN blamed global warming on humans on natural causes.,0,unacceptable
He will indeed not endorse the treaty.,0,acceptable
Will not John go to school?,0,acceptable
Bill reading of Shakespeare satisfied me,0,unacceptable
I was happier there than I'm here.,0,unacceptable
I've kicked more of a man than you have.,0,acceptable
John seems to be a fountain in the park.,0,unacceptable
We investigated bombs in the area.,0,acceptable
"Clearly, John perfectly will immediately learn French probably.",0,unacceptable
Could you turn off the fire and on the light?,0,acceptable
Mickey slips all the time up.,0,unacceptable
They represented seriously Mary as a genuine linguist.,0,unacceptable
I sent Bill money to Mary to Sam.,0,unacceptable
Amanda drove at the package.,0,unacceptable
Jessica stuffed boxes at the truck.,0,acceptable
